customer_id,full_name,email,phone,postcode,region,property_type,package,monthly_charges,contract_type,tenure_months,install_date,payment_method,nps_score,support_tickets,churn
10139,Ava Walker,ava.walker71@outlook.com,07663177971,RG29 6EU,Oxfordshire,Detached,Fibre 500,55.81,Monthly,7,2024-09-01,Direct Debit,9,1,No
10388,Olivia Thomas,olivia.thomas38@gmail.com,07975019803,SN36 8FJ,Wiltshire,Cottage,Fibre 100,32.39,24-month,43,2020-08-20,Bank Transfer,3,0,No
10622,Emily Davies,emily.davies33@yahoo.co.uk,07979127997,OX12 3TD,Wiltshire,Detached,Fibre 100,30.31,24-month,,2024-08-25,Bank Transfer,7,0,No
10824,Ava Turner,ava.turner90@gmail.com,07217816780,SO41 7LJ,Gloucestershire,Cottage,Fibre 500,59.17,24-month,32,2024-01-04,Credit Card,99,1,No
10717,Isla Davies,isla.davies92@yahoo.co.uk,07202847190,GL30 3GF,Northamptonshire,Detached,Fibre 100,34.16,Monthly,28,2023-12-14,Credit Card,10,5,No
10845,Jack Jones,jack.jones51@gmail.com,07636050281,SO18 1ZX,Gloucestershire,Detached,Fibre 900,69.01,24-month,31,2020-10-04,Direct Debit,0,1,No
10687,George Hughes,george.hughes54@gmail.com,07708056856,SO30 1RJ,Hampshire,Semi-detached,Fibre 100,28.58,24-month,26,2023-06-12,Direct Debit,4,1,No
10935,Grace Hughes,grace.hughes9@yahoo.co.uk,07502528546,GL16 1XT,Cambridgeshire,Detached,Fibre 300,46.74,24-month,33,2023-03-24,Direct Debit,10,5,No
10581,William Roberts,william.roberts11@outlook.com,07829987478,GL10 3NW,oxfordshire,Cottage,Fibre 500,55.65,Monthly,34,2024-07-15,Direct Debit,0,0,No
10382,William Wood,william.wood13@gmail.com,07457758474,,Buckinghamshire,Bungalow,Fibre 300,48.41,24-month,19,2023-02-09,Bank Transfer,8,0,Y
10070,Isla Clarke,isla.clarke87@yahoo.co.uk,07497334843,NN19 4UP,Berkshire,Cottage,Fibre 500,56.91,24-month,70,2022-05-04,Bank Transfer,10,3,Yes
10260,William Hall,william.hall41@gmail.com,07027456449,NN34 6SG,buckinghamshire,Terraced,Fibre 300,49.95,Monthly,34,2024-11-21,Credit Card,99,1,No
10800,Thomas Wilson,thomas.wilson76@outlook.com,not-a-number,SO20 1SU,Buckinghamshire,Farmhouse,Fibre 500,58.92,Monthly,46,2021-01-18,Direct Debit,10,0,No
10453,Olivia Edwards,olivia.edwards12@yahoo.co.uk,07312840333,RG30 2XB,Buckinghamshire,Terraced,Fibre 500,53.5,12-month,71,2020-08-03,Credit Card,3,0,No
10591,William Turner,william.turner81@yahoo.co.uk,07053766608,,Oxfordshire,Semi-detached,Fibre 900,69.11,Monthly,6,2024-04-12,Credit Card,6,0,No
10906,Lily Smith,lily.smith84@yahoo.co.uk,07413068624,OX45 9TE,Oxfordshire,Detached,Fibre 100,-10.0,12-month,11,2023-09-20,Direct Debit,10,1,No
10784,William Smith,william.smith77@btinternet.com,07037161608,GL40 8FF,  Cambridgeshire ,Terraced,Fibre 900,67.16,24-month,18,2025-07-09,Credit Card,7,0,No
10213,Charlie Davies,charlie.davies74@outlook.com,07504102767,NN31 9JR,Hampshire,Farmhouse,Fibre 900,64.83,24-month,22,2023-01-10,Credit Card,6,2,No
10096,Jack Brown,jack.brown24@gmail.com,07528669296,SO12 8XG,Wiltshire,Farmhouse,Fibre 300,45.01,Monthly,40,2022-08-20,Direct Debit,5,0,Yes
10679,Emily Walker,emily.walker95@gmail.com,07090605308,SO33 5JA,Wiltshire,Detached,Fibre 100,28.61,12-month,9,2023-04-26,Direct Debit,9,0,1
10849,Noah Wright,noah.wright4@yahoo.co.uk,07153017316,RG7 6SB,Buckinghamshire,Bungalow,Fibre 100,-10.0,Monthly,47,2022-03-06,Credit Card,4,0,No
10178,Jack Clarke,jack.clarke9@outlook.com,07827448570,SO47 3AZ,Buckinghamshire,Bungalow,Fibre 500,54.66,24-month,71,2020-11-18,Credit Card,3,5,No
10880,Isla Wilson,,07981413447,SO45 1YL,Cambridgeshire,Terraced,Fibre 100,31.4,12-month,66,2022-01-24,Direct Debit,9,0,Yes
10192,Harry Wilson,,07366096569,,Oxfordshire,Semi-detached,Fibre 900,66.62,12-month,63,2025-01-18,Credit Card,8,0,No
10280,William Clarke,william.clarke94@outlook.com,07519966365,OX43 8LD,Wiltshire,Terraced,Fibre 900,63.16,24-month,58,2025-05-18,Bank Transfer,1,0,No
10533,Jack Roberts,jack.roberts66@btinternet.com,07769899927,MK6 8PX,Gloucestershire,Cottage,Fibre 500,57.39,12-month,40,2022-10-17,Direct Debit,5,2,No
10682,Grace Brown,grace.brown28@btinternet.com,07855881959,RG45 8GE,Hampshire,Bungalow,Fibre 100,31.61,24-month,65,2020-06-08,Credit Card,8,1,No
10617,Lily Jones,lily.jones88@outlook.com,07144488966,RG10 8JS,Berkshire,Terraced,Fibre 300,48.51,24-month,55,2022-11-14,Direct Debit,0,0,No
10982,Isla Thomas,isla.thomas90@gmail.com,07947651186,GL22 7LA,Northamptonshire,Detached,Fibre 300,45.15,12-month,48,2021-10-18,Bank Transfer,1,1,Yes
10910,Emily Patel,emily.patel94@yahoo.co.uk,07280218893,OX25 4QU,Oxfordshire,Terraced,Fibre 900,69.96,12-month,59,2024-10-25,Direct Debit,10,0,No
10184,Amelia Davies,amelia.davies40@gmail.com,07805892583,SN4 7TZ,Gloucestershire,Semi-detached,Fibre 100,31.01,12-month,49,2021-03-11,Direct Debit,7,0,Yes
10030,Thomas Taylor,thomas.taylor15@yahoo.co.uk,07680876038,MK40 8TB,Cambridgeshire,Cottage,Fibre 500,56.83,12-month,33,2023-12-16,Direct Debit,0,1,No
10328,Isla Edwards,isla.edwards41@btinternet.com,07102932184,OX6 2WN,Buckinghamshire,Bungalow,Fibre 300,44.19,24-month,1,10/04/2020,Direct Debit,8,1,Yes
10506,Oliver Roberts,oliver.roberts9@gmail.com,07750961701,MK38 6ZD,Northamptonshire,Terraced,Fibre 300,48.87,12-month,9,2022-12-26,Credit Card,5,5,No
10054,William Brown,william.brown35@outlook.com,07782613750,SO4 7WQ,Cambridgeshire,Farmhouse,Fibre 500,59.95,12-month,11,2021-01-11,Direct Debit,10,2,No
10023,Ava Clarke,ava.clarke64@gmail.com,07527354549,12345,Gloucestershire,Semi-detached,Fibre 900,68.03,12-month,44,2024-04-23,Credit Card,10,5,Yes
10101,Amelia Wilson,amelia.wilson55@gmail.com,07324241541,MK43 3BR,Northamptonshire,Terraced,Fibre 900,67.89,Monthly,59,2023-11-03,Bank Transfer,1,0,No
10549,James Taylor,james.taylor94@yahoo.co.uk,07713727117,MK40 6UL,Buckinghamshire,Terraced,Fibre 300,47.64,24-month,5,2021-11-22,Bank Transfer,9,1,no
10247,Henry Jones,john.smith,07905616556,MK4 4JJ,  Northamptonshire ,Bungalow,Fibre 300,43.58,24-month,47,2020-05-04,Credit Card,2,0,No
10003,Lily Green,lily.green18@yahoo.co.uk,07xx,CB9 9UD,Oxfordshire,Detached,Fibre 900,64.06,Monthly,19,2025-07-20,Direct Debit,6,3,Yes
10086,Lily Hall,lily.hall30@gmail.com,07397401489,OX12 6AH,Wiltshire,Terraced,Fibre 500,58.74,Monthly,13,2022-03-19,Direct Debit,9,3,No
10843,Emily Clarke,emily.clarke41@gmail.com,07397077454,NN31 1XF,Cambridgeshire,Detached,Fibre 300,46.1,Monthly,19,2022-07-24,Direct Debit,9,2,No
10952,Charlie Turner,,07445345146,SO36 9SQ,Cambridgeshire,Terraced,Fibre 900,68.22,12-month,27,2024-04-26,Credit Card,8,1,No
10290,Olivia Walker,olivia.walker98@btinternet.com,07179110065,GL9 1TB,Northamptonshire,Bungalow,Fibre 300,47.37,Monthly,10,2020-11-02,Bank Transfer,0,1,Yes
10210,Ava Wood,ava.wood5@yahoo.co.uk,07097519712,NN30 9DW,Gloucestershire,Semi-detached,Fibre 500,-29.99,24-month,53,2025-11-03,Bank Transfer,,1,No
10802,Sophie Jones,sophie.jones37@yahoo.co.uk,07503698884,CB40 4JH,Wiltshire,Cottage,Fibre 100,33.94,12-month,29,2021-10-14,Direct Debit,0,0,No
10174,Noah Walker,noah.walker69@gmail.com,07xx,GL10 1UH,Buckinghamshire,Farmhouse,Fibre 100,30.17,12-month,20,23/08/2022,Direct Debit,,0,No
10199,James Brown,james.brown93@btinternet.com,07990235577,OX42 3UF,Berkshire,Bungalow,Fibre 500,59.26,12-month,44,2023-12-02,Bank Transfer,4,2,No
10902,George Roberts,george.roberts67@outlook.com,07814112874,MK9 8DZ,CAMBRIDGESHIRE,Farmhouse,Fibre 900,66.33,24-month,1,Aug 2022,Credit Card,6,1,No
10880,Isla Wilson,,07981413447,SO45 1YL,Cambridgeshire,Terraced,Fibre 100,31.4,12-month,66,2022-01-24,Direct Debit,9,0,Yes
10063,Ava Wright,ava.wright26@yahoo.co.uk,07842498182,SN11 6YB,Oxfordshire,Detached,Fibre 500,53.31,24-month,11,2024-05-21,Direct Debit,9,3,No
10265,Lily Wood,lily.wood56@btinternet.com,07174224386,NN37 1XD,Oxfordshire,Bungalow,Fibre 100,28.74,12-month,,2023-02-15,Bank Transfer,9,1,N
10231,Lily Hughes,,07242437540,SN23 5TG,Wiltshire,Terraced,Fibre 900,66.74,Monthly,59,2021-12-23,Bank Transfer,2,0,No
10803,Henry Turner,henry.turner35@outlook.com,07412907596,MK40 3BE,Wiltshire,Semi-detached,Fibre 300,£49.76,12-month,16,16/02/2021,Credit Card,4,2,No
10625,George Hughes,george.hughes12@gmail.com,07437483093,OX37 7UD,Cambridgeshire,Terraced,Fibre 300,47.14,Monthly,45,2024-02-05,Credit Card,0,0,No
10568,Ava Williams,ava.williams96@outlook.com,07016234190,CB46 2AS,Gloucestershire,Cottage,Fibre 100,29.43,Monthly,30,2021-12-21,Direct Debit,5,2,Yes
10854,Emily Williams,emily.williams85@btinternet.com,07199829075,MK6 6LP,Wiltshire,Farmhouse,Fibre 300,43.39,12-month,39,2022-07-19,Bank Transfer,9,0,Y
10039,Amelia Patel,amelia.patel89@gmail.com,07537735158,MK4 7LH,Gloucestershire,Farmhouse,Fibre 900,63.63,Monthly,36,2025-11-20,Direct Debit,0,2,No
10806,James Walker,james.walker93@outlook.com,07219143087,RG38 8FL,Berkshire,Bungalow,Fibre 100,34.81,12-month,35,2025-12-09,Direct Debit,2,0,No
10168,Isla Hall,isla.hall63@yahoo.co.uk,07448906120,CB17 8ET,Buckinghamshire,Cottage,Fibre 900,65.52,24-month,18,2024-05-12,Direct Debit,6,0,1
10590,Freya Roberts,freya.roberts68@btinternet.com,07750926322,CB39 9FD,Cambridgeshire,Farmhouse,Fibre 300,44.92,12-month,30,2023-02-03,Credit Card,0,1,No
10464,Noah Green,,07981231795,MK27 4HD,Buckinghamshire,Farmhouse,Fibre 100,29.78,Monthly,12,Jan 2023,Credit Card,6,3,No
10998,Grace Taylor,grace.taylor86@btinternet.com,07047966682,OX48 6FQ,Hampshire,Cottage,Fibre 900,69.84,24-month,66,2022-01-17,Bank Transfer,9,0,No
10442,Noah Hall,noah.hall65@yahoo.co.uk,07096244063,OX27 3LL,Berkshire,Bungalow,Fibre 500,58.52,24-month,24,2022-02-08,Direct Debit,0,2,No
10908,Poppy Hughes,poppy.hughes35@gmail.com,07108479135,GL46 2JQ,Oxfordshire,Cottage,Fibre 500,54.35,12-month,5,2021-03-25,Bank Transfer,,0,No
10066,Noah Hughes,noah.hughes37@gmail.com,07797480162,NN47 6RQ,Oxfordshire,Farmhouse,Fibre 500,53.35,24-month,,2021-06-18,Credit Card,1,3,Yes
10307,Olivia Turner,olivia.turner82@gmail.com,07816470900,SO13 4QJ,  Cambridgeshire ,Detached,Fibre 300,43.1,Monthly,-1,2020-06-27,Direct Debit,10,0,No
10067,Freya Thomas,freya.thomas51@gmail.com,07558523986,OX3 1FP,Berkshire,Bungalow,Fibre 100,31.19,24-month,17,2024-03-11,Bank Transfer,5,0,Yes
10198,William Patel,william.patel91@outlook.com,123,SO27 1PQ,Cambridgeshire,Detached,Fibre 900,67.47,24-month,24,2022-05-26,Direct Debit,4,1,No
10528,Noah Patel,noah.patel50@gmail.com,07260423597,CB46 8EE,Wiltshire,Semi-detached,Fibre 900,63.91,24-month,32,2024-01-15,Credit Card,5,3,No
10481,Grace Wright,grace.wright70@yahoo.co.uk,07512538921,RG35 6EZ,Cambridgeshire,Terraced,Fibre 500,55.43,24-month,31,2025-09-27,Direct Debit,7,1,No
10757,Ava Walker,ava.walker16@btinternet.com,07743068811,SO18 1HN,Cambridgeshire,Bungalow,Fibre 900,66.52,24-month,18,2020-09-16,Direct Debit,8,5,Yes
10987,Jack Evans,jack.evans52@btinternet.com,07504718830,OX49 6LF,Berkshire,Semi-detached,Fibre 500,59.53,12-month,13,2025-12-20,Bank Transfer,6,3,Yes
10362,Freya Edwards,freya.edwards42@outlook.com,07502727516,NN34 1TF,Berkshire,Terraced,Fibre 300,49.78,Monthly,10,2020-04-24,Direct Debit,6,0,Yes
10844,Henry Thomas,henry.thomas53@btinternet.com,07262359605,CB1 3RD,Northamptonshire,Detached,Fibre 900,63.9,12-month,63,2024-08-01,Direct Debit,6,3,No
10558,Henry Taylor,henry.taylor78@btinternet.com,07935937440,CB43 5RL,Oxfordshire,Bungalow,Fibre 900,64.59,Monthly,54,2023-04-13,Direct Debit,6,0,No
10618,William Wilson,william.wilson9@outlook.com,07832812312,CB39 3AN,Gloucestershire,Detached,Fibre 500,55.63,Monthly,37,2020-09-08,Credit Card,4,5,No
10352,George Green,george.green7@yahoo.co.uk,07191792025,SN6 4DA,Hampshire,Semi-detached,Fibre 100,33.35,12-month,55,2025-03-24,Bank Transfer,4,5,Yes
10760,Poppy Patel,poppy.patel19@outlook.com,07487098726,NN37 7HG,Wiltshire,Cottage,Fibre 500,53.54,12-month,13,2022-03-06,Credit Card,0,1,No
10929,Poppy Roberts,poppy.roberts72@gmail.com,07564901324,MK49 2YH,Buckinghamshire,Detached,Fibre 900,68.76,Monthly,18,2020-02-11,Credit Card,6,0,Yes
10292,Grace Patel,grace.patel18@outlook.com,07002496854,SN10 8NZ,Buckinghamshire,Cottage,Fibre 900,65.57,Monthly,24,2024-10-22,Bank Transfer,2,0,No
10752,William Walker,william.walker6@gmail.com,07450243736,GL22 9UH,Hampshire,Farmhouse,Fibre 100,28.97,12-month,65,2020-04-23,Credit Card,15,3,No
10100,Lily Walker,lily.walker82@btinternet.com,07518636374,ABCDE,Wiltshire,Bungalow,Fibre 100,33.96,12-month,12,2025-01-02,Direct Debit,10,5,No
10969,Sophie Hall,sophie.hall45@btinternet.com,07561927671,CB29 8EW,Hampshire,Semi-detached,Fibre 900,68.92,Monthly,19,2024-06-13,Direct Debit,2,3,Yes
10368,Harry Williams,harry.williams59@gmail.com,07911244211,RG24 4RE,Berkshire,Detached,Fibre 100,30.89,12-month,14,2025-02-07,Bank Transfer,6,3,No
10808,Oliver Jones,oliver.jones95@yahoo.co.uk,07883825672,SO12 1WL,Hampshire,Farmhouse,Fibre 500,53.87,24-month,65,2021-06-10,Direct Debit,10,2,No
10305,Lily Hall,lily.hall97@gmail.com,07185672438,OX30 1DT,Hampshire,Cottage,Fibre 100,33.21,Monthly,48,2023-01-01,Credit Card,1,0,No
10628,James Hughes,james.hughes77@outlook.com,07462093556,12345,Buckinghamshire,Semi-detached,Fibre 500,-10.0,24-month,18,2023-01-25,Direct Debit,3,5,No
10158,William Wood,a@b,07799088117,SN39 9AS,Hampshire,Cottage,Fibre 900,£69.11,24-month,20,2024-07-08,Credit Card,6,2,No
10551,Emily Taylor,emily.taylor85@btinternet.com,07150666267,OX22 6EN,Cambridgeshire,Farmhouse,Fibre 300,49.14,12-month,21,2023-10-07,Credit Card,6,1,No
10002,Thomas Wright,,07419283276,NN41 9JP,Oxfordshire,Semi-detached,Fibre 300,48.74,12-month,48,2023-05-03,Direct Debit,9,2,No
10728,Poppy Clarke,poppy.clarke74@yahoo.co.uk,07812831800,CB28 7SA,Wiltshire,Terraced,Fibre 300,43.0,Monthly,53,2022-04-24,Direct Debit,8,2,no
10208,Emily Jones,emily.jones1@gmail.com,07851403696,,hampshire,Bungalow,Fibre 500,54.47,Monthly,71,2023-03-07,Bank Transfer,6,2,Yes
10299,William Wood,william.wood13@outlook.com,07115083535,NN20 5HZ,Wiltshire,Terraced,Fibre 100,33.17,12-month,36,2020-05-10,Credit Card,6,3,No
10850,Ava Hughes,ava.hughes73@btinternet.com,07406453157,OX21 8EY,Gloucestershire,Terraced,Fibre 500,59.52,24-month,40,2024-09-13,Credit Card,4,3,No
10436,Noah Patel,noah.patel98@outlook.com,07162526546,SO35 2QU,Oxfordshire,Semi-detached,Fibre 900,69.19,Monthly,60,2021-06-12,Credit Card,8,0,Yes
10869,Sophie Turner,john.smith,07674831730,SO26 3YH,Gloucestershire,Cottage,Fibre 900,63.64,24-month,36,2020-08-18,Bank Transfer,2,1,No
10411,Henry Edwards,no-at-sign.com,07xx,NN39 2JL,Wiltshire,Detached,Fibre 500,54.44,24-month,13,2021-01-20,Direct Debit,8,1,No
10614,James Edwards,james.edwards37@gmail.com,07105276981,RG36 1ZF,  Berkshire ,Detached,Fibre 500,54.89,Monthly,20,2021-09-17,Bank Transfer,5,3,No
10907,Lily Williams,lily.williams53@btinternet.com,07238115223,SN36 3GG,Wiltshire,Cottage,Fibre 300,43.08,12-month,-1,Jun 2023,Direct Debit,,1,1
10912,Sophie Williams,sophie.williams9@btinternet.com,07065673374,MK29 1DR,Buckinghamshire,Semi-detached,Fibre 900,66.1,Monthly,,2021-07-22,Bank Transfer,1,1,N
10996,Sophie Wood,sophie.wood93@yahoo.co.uk,07453856535,SN13 3SS,Oxfordshire,Terraced,Fibre 300,47.77,24-month,31,2020-01-09,Credit Card,,0,No
10962,Grace Edwards,grace.edwards5@gmail.com,07297711506,SN44 2TZ,Wiltshire,Farmhouse,Fibre 500,59.31,12-month,29,2020-08-07,Direct Debit,8,0,Yes
10700,William Smith,william.smith20@yahoo.co.uk,07589222560,12345,Oxfordshire,Farmhouse,Fibre 100,29.69,24-month,38,2025-08-28,Direct Debit,1,0,No
10778,Harry Edwards,harry.edwards66@btinternet.com,07494771290,CB24 1BS,Gloucestershire,Bungalow,Fibre 900,65.11,24-month,53,2023-05-05,Direct Debit,3,2,yes
10306,Thomas Patel,,07372742209,GL12 5EX,Hampshire,Semi-detached,Fibre 900,63.53,Monthly,9,2025-05-05,Credit Card,5,0,No
10919,Thomas Clarke,thomas.clarke49@yahoo.co.uk,07474370194,MK13 2DT,Berkshire,Farmhouse,Fibre 100,34.77,24-month,37,2023-06-02,Credit Card,2,5,Yes
10493,Jack Thomas,jack.thomas26@btinternet.com,07066248132,CB22 8AT,Gloucestershire,Semi-detached,Fibre 300,47.2,12-month,45,2024-03-05,Bank Transfer,5,0,No
10423,Henry Wilson,,07589477352,SN34 8AP,Hampshire,Semi-detached,Fibre 300,44.04,Monthly,38,2020-05-23,Direct Debit,3,0,0
10298,Harry Roberts,harry.roberts30@yahoo.co.uk,07907895677,SO27 6UP,Northamptonshire,Farmhouse,Fibre 900,63.16,12-month,67,2021-05-21,Direct Debit,5,0,No
10467,Freya Green,freya.green2@gmail.com,07531611776,RG9 1NU,Berkshire,Cottage,Fibre 300,43.89,24-month,21,2024-06-20,Bank Transfer,1,5,Yes
10884,Poppy Walker,poppy.walker63@outlook.com,07764149003,MK1 3PP,Gloucestershire,Terraced,Fibre 500,58.04,Monthly,21,2022-05-22,Credit Card,8,3,Yes
10755,Olivia Brown,olivia.brown43@outlook.com,07846405103,OX9 8HA,Northamptonshire,Semi-detached,Fibre 900,66.4,Monthly,42,Mar 2023,Bank Transfer,1,1,No
